timestamp,co2,temperature,humidity,occupancy,fresh_air_level,lesson_status,outdoor_temperature,outdoor_humidity
2026-06-01 08:00:00,654.4,26.0,65.1,5,10,pre_class,24.7,77.3
2026-06-01 08:01:00,655.7,25.9,65.4,8,10,pre_class,24.2,72.7
2026-06-01 08:02:00,673.9,26.0,65.9,14,10,pre_class,24.2,75.1
2026-06-01 08:03:00,691.0,25.9,66.2,21,10,pre_class,24.7,73.9
2026-06-01 08:04:00,717.6,26.0,66.5,24,10,pre_class,24.5,77.3
2026-06-01 08:05:00,734.8,26.0,66.8,21,10,pre_class,24.7,77.1
2026-06-01 08:06:00,756.9,26.0,66.9,25,10,pre_class,24.6,78.3
2026-06-01 08:07:00,788.5,26.2,66.9,40,30,pre_class,25.4,74.6
2026-06-01 08:08:00,821.6,26.3,67.0,47,30,pre_class,25.1,76.7
2026-06-01 08:09:00,846.6,26.3,66.6,36,30,pre_class,25.0,78.3
2026-06-01 08:10:00,898.0,26.4,67.0,55,30,in_class,25.1,74.1
2026-06-01 08:11:00,916.9,26.4,67.0,30,30,in_class,24.4,73.4
2026-06-01 08:12:00,922.0,26.4,66.1,34,50,in_class,24.9,74.9
2026-06-01 08:13:00,950.7,26.5,65.8,51,50,in_class,24.0,76.3
2026-06-01 08:14:00,974.8,26.5,65.2,46,50,in_class,25.3,77.8
2026-06-01 08:15:00,979.0,26.4,64.7,26,50,in_class,24.6,76.2
2026-06-01 08:16:00,973.7,26.3,63.7,32,70,in_class,25.2,76.3
2026-06-01 08:17:00,980.7,26.4,62.5,50,70,in_class,25.0,76.7
2026-06-01 08:18:00,999.6,26.5,61.4,56,70,in_class,24.4,74.5
2026-06-01 08:19:00,1011.7,26.5,60.3,48,70,in_class,24.7,74.9
2026-06-01 08:20:00,1018.8,26.5,59.2,49,70,in_class,25.0,76.5
2026-06-01 08:21:00,1045.1,26.4,58.2,58,70,in_class,24.2,77.6
2026-06-01 08:22:00,1023.4,26.4,57.3,27,70,in_class,25.0,74.9
2026-06-01 08:23:00,1029.3,26.4,56.4,42,70,in_class,25.2,75.3
